RegionName,StateName,Metro,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,2013,2014,2015,2016,2017,2018,2019,2020
Los Angeles County,CA,Los Angeles-Long Beach-Anaheim,395750,403238,410741,420197,427870,435660,443386,453115,461420,467187,471600,474124,478273,478908,480479,480159,481553,482188,484362,484234,484635,485121,487921,490793,494513,498622,502589,503949,506368,508682,510805,512949,515330,518960,522066,526712,529241,532316,533989,539121,542411,546148,547852,551187,555427,560083,562536,564106,567167,570020,573344,575480,579596,583135,587474,591174,594376,597013,601852,606839,611450,616173,621196,625407,628495,631372,633967,634663,634570,634665,635260,634785,634544,631682,628908,628225,631975,637125,637873,637357,636784,638661,640459,644115,648535,654238,659773,664580,666444,667704,672758,680207,688570,695441,702046,708045,438690.6667,483218.8333,510128.75,590927.4167,585622.5,628500.25,635642.3333,675695.0833
Cook County,IL,Chicago-Naperville-Elgin,184527,186248,186989,188281,189259,191777,194257,197130,199133,202031,203456,205523,206134,207941,208756,208891,209437,210461,211353,211481,212404,212855,213649,214058,214509,214500,215046,216714,218347,218912,219404,220060,220591,220583,220777,221526,222559,224319,225501,226286,226475,227128,228404,229520,230328,231431,233006,234113,235165,235814,237493,238830,239969,240573,240957,241771,242897,243943,244581,245731,247583,249163,249493,249704,250315,251387,251776,252075,252284,252556,253162,253665,253638,253480,253712,254415,254958,255222,255297,255020,253994,252966,252505,252586,253078,253229,253684,254076,254595,255333,256710,258486,261016,263754,266201,268475,194050.9167,210618.3333,218414.0833,246716.3333,240643.6667,251096.9167,253982.75,258219.75
Harris County,TX,Houston-The Woodlands-Sugar Land,130054,130946,132439,134187,135809,136986,138117,139311,140680,142184,143688,145026,146196,147356,148056,148854,149644,151072,152487,154176,155755,157136,158352,159644,160859,161905,163242,164546,165755,166538,167014,167492,167989,168849,169357,169809,170721,171699,172298,172292,172676,173327,174363,174920,175404,175633,176553,177581,177989,178366,178869,179782,180318,180740,180948,181226,181605,182120,182554,182916,183446,183960,184594,185639,186759,187772,188573,189574,190527,191294,191911,192608,193752,194619,194917,194695,194893,195690,196615,197361,197401,197855,198125,198682,198619,198904,199807,200940,201912,202637,203555,204670,206514,208295,210494,212658,137452.25,152394,166112.9167,188106.3333,180619.4167,188054.75,196217.0833,204083.75
Maricopa County,AZ,Phoenix-Mesa-Scottsdale,176994,178659,181710,183717,185728,188345,191860,194814,197169,198941,199622,201310,203218,206245,206951,206746,206430,206556,206170,206136,205648,206146,207594,209317,209926,210271,212159,214708,217002,218153,219970,221559,223609,224673,225546,226322,228264,229616,230508,231378,232493,233823,234188,235182,236230,238078,239831,241168,242028,243189,244568,245814,246872,248307,250266,251516,252887,254185,255840,257233,258986,261111,262935,264630,266390,268163,269770,271016,272331,273316,274080,274992,276029,277170,278247,278598,279750,281476,283696,285599,286981,288598,290370,292451,294579,296637,299209,302766,305996,309005,311980,315932,320662,325809,331342,337118,189905.75,206429.75,218658.1667,253090.0833,249392.0833,268143.3333,283247.0833,312586.25
San Diego County,CA,San Diego-Carlsbad,387114,391755,397595,405356,413388,421219,429478,438623,443791,447186,449569,452149,457159,463367,463880,462817,459986,460305,461634,459941,461190,462073,466196,467362,466187,465799,471052,475652,480214,480794,482077,484436,487321,490660,493202,497591,504587,507053,506178,506143,507813,511591,512584,516472,519823,524158,526828,529161,528758,531624,536251,542424,548218,551984,555396,556618,559554,562921,566143,569743,576060,581966,585439,584912,584267,585742,588265,590888,591345,591632,591460,590804,587641,585452,584189,587233,590128,594493,597990,599937,599992,599614,600782,603334,607419,611178,615413,618539,622620,625616,629734,636244,645855,656702,667613,678665,423101.9167,462159.1667,481248.75,555831.8333,550802.8333,586898.3333,594232.0833,634633.1667
Orange County,CA,Los Angeles-Long Beach-Anaheim,511323,522326,535598,546896,558387,568772,574539,579499,584553,590775,597635,604120,608312,609858,606812,605536,603058,602892,603056,603365,604971,606210,608812,610162,611619,614175,617914,622420,624995,627804,631391,635727,639936,643468,644523,648298,650406,653968,655941,656940,660487,661688,666057,668999,670609,671248,674371,676338,681126,683169,687464,689853,692469,696399,698129,699761,702688,706605,711263,716122,719331,722595,724461,729041,733033,738010,738932,738899,736475,737288,737430,736910,734469,732110,730046,729348,732244,735076,738917,739547,742777,743837,744589,744462,747160,751413,756018,759221,760376,761539,764886,771973,778679,786090,794593,804911,564535.25,606087,630189.1667,717945.8333,697087.3333,732700.4167,737285.1667,769738.25
Kings County,NY,New York-Newark-Jersey City,435829,438637,440446,441043,442434,445488,448264,451398,456105,461330,465156,468492,472397,478164,483506,488938,493394,497490,501562,505771,508203,510587,511805,513941,516338,519032,522624,527907,533994,539521,543952,547545,552496,557243,562902,566879,569431,571155,573560,575567,577001,578795,581299,584450,585862,586359,587837,591027,595940,599841,603472,606886,610438,612922,615621,618819,624306,630268,634679,638064,640707,644907,647312,648796,650398,653803,657099,659899,660714,662978,665982,669581,671786,673241,674472,675610,676479,676778,676634,674474,672931,671118,669272,668412,668257,668793,669426,670688,672104,673297,674835,678096,681600,684767,688177,690978,449551.8333,497146.5,540869.4167,627435.1667,615938,655181.3333,673433.9167,676751.5
Miami-Dade County,FL,Miami-Fort Lauderdale-West Palm Beach,183446,186271,189745,193625,196547,198759,201590,204210,206858,208972,212502,216276,219769,221463,222879,223946,225575,227344,229128,230932,232795,235567,236869,238267,238686,240317,241613,243236,245070,246841,248174,249449,251044,252169,254131,255987,258583,260665,262637,264604,265919,267969,270246,272499,274298,275683,277163,278622,280519,282088,283345,284333,286111,287632,288952,290708,292087,294205,294596,296019,296620,298550,300417,302541,304368,305649,306960,307725,308901,309444,312065,313447,315112,314138,314279,314690,315062,315937,316520,317172,317394,318319,319163,319417,319217,320433,321646,322667,323839,325073,326723,328699,331112,333362,335250,338247,199900.0833,228711.1667,247226.4167,290406.25,288382.9167,305557.25,316433.5833,327189
Dallas County,TX,Dallas-Fort Worth-Arlington,122662,123034,123478,124143,125045,126038,127051,128185,129454,130592,131560,132467,132969,133732,134307,134833,135466,136291,135989,136243,136504,137806,138821,139836,140910,141819,142922,144593,146305,147806,149652,150903,152179,153055,154418,155892,156384,156758,157106,158327,159826,161670,163981,166007,167911,169650,171500,173019,174377,175932,177609,179166,180481,181363,181964,182049,182921,184117,185913,187685,190149,192734,194999,196655,198400,200272,202131,204533,205476,206532,206941,208619,210067,211281,212253,212963,213486,214047,214699,215585,216921,216926,217159,216705,217029,216978,217362,218393,219710,221173,222773,224192,226003,228942,232153,235586,126975.75,136066.4167,148371.1667,176502.5833,181131.4167,200620.0833,214341,223357.8333
Queens County,NY,New York-Newark-Jersey City,340149,340683,342214,344151,346386,348268,350339,352498,354228,356484,358604,360885,363873,367360,370856,373386,374937,375659,376952,378739,381751,383731,386031,388214,390359,392224,394214,396604,399133,402655,405585,408669,410411,412701,414734,417373,419803,422525,424558,427560,430477,433425,436284,438884,442280,445338,448898,451860,455273,457524,460147,461687,464297,466468,468962,471705,474554,478415,481325,483815,485730,488272,491600,495759,499881,504372,508445,511799,514624,516318,518139,520020,521583,522923,524264,524795,525876,525698,525141,524637,523669,524310,524274,524814,525213,525964,526372,527214,527488,528708,530449,532550,535322,537350,540161,542792,349574.0833,376790.75,403721.8333,469938.75,468681,504579.9167,524332,531631.9167
Riverside County,CA,Riverside-San Bernardino-Ontario,243750,247434,252246,257462,263154,268732,273976,277175,279513,283164,288527,294026,297758,301358,303457,304536,305530,306676,307027,306974,307487,308952,310134,310700,311751,312674,313661,315110,316079,317304,318098,319941,322078,323733,324753,326466,328066,329902,331411,332832,334351,335329,337537,339510,340751,341974,343845,345777,347153,347680,349559,351676,354204,356836,358540,360696,363328,366230,367956,369319,371107,374793,377512,380192,382555,384825,386651,387169,387732,386998,388008,388005,390378,391486,393353,393988,394233,394900,396049,396890,396715,398061,398353,400821,401016,402430,403184,405194,407920,410718,413866,418177,423582,428799,434718,440052,269096.5833,305882.4167,318470.6667,363979.25,357764.75,382962.25,395435.5833,415804.6667
San Bernardino County,CA,Riverside-San Bernardino-Ontario,200510,203953,207354,211060,215677,220733,226357,231266,236661,242238,247388,251680,255746,260334,264190,266389,268344,269725,271173,272778,273204,274333,274485,275422,275544,276630,277814,279833,280785,282380,283823,285151,287081,288374,291026,292815,294991,295955,297519,298858,301161,302587,304808,306539,308465,309745,310590,312210,314366,317104,319015,321509,322817,325637,326531,329067,330200,332988,336165,339503,342361,344348,346295,347662,350237,352022,354164,354858,356724,357674,357774,357297,357611,357898,358453,359002,361422,363367,364358,364434,364723,365895,367535,368904,370229,371795,374010,376703,377892,379915,383299,388206,393124,397948,403277,409635,224573.0833,268843.5833,283438,328020.25,326241.8333,351784.6667,362800.1667,385502.75
Clark County,NV,Las Vegas-Henderson-Paradise,144658,147882,152045,155818,160037,164271,169147,173438,177617,181078,184220,186085,187985,189776,191274,192252,192421,192462,192926,193294,193001,193911,194977,197549,198797,200079,200728,201809,203468,204560,204694,205366,206813,208097,208646,209833,211665,213564,214426,215816,216868,218352,219757,221080,222300,222444,223340,222400,222899,223363,226805,229443,232250,234980,238386,241221,244557,248841,253529,258199,261271,264731,266518,268751,271255,275251,279081,282735,284866,286235,286501,287947,289273,290575,290413,290721,291765,292833,292712,291297,289602,289421,290373,291264,292533,293458,295613,297434,298575,298983,300268,302873,306465,309189,311546,313532,166358,192652.3333,204407.5,235987.0833,237872.75,276261.8333,290854.0833,301705.75
King County,WA,Seattle-Tacoma-Bellevue,348010,353329,358206,363955,367774,370654,374703,378388,382981,386282,388705,391320,395060,398110,399804,400256,401028,404493,405990,407495,408400,411234,414722,418114,422462,425231,428707,431384,435734,438296,442234,448204,454012,459135,463817,468194,470853,475728,481590,488637,493490,498937,504491,508520,512833,516728,523027,530175,537566,542498,545845,551331,559597,569077,578407,586163,592619,600202,605337,611718,618098,628595,638612,645793,649393,649949,647507,645011,645133,644768,642927,638699,634967,630429,626562,623916,624784,625599,627190,626954,626062,624628,627444,634268,642481,649282,654546,660022,664041,669234,675320,683379,691069,699297,705215,708764,372025.5833,405392.1667,443117.5,539433.5833,573363.3333,641207.0833,627733.5833,675220.8333
Wayne County,MI,Detroit-Warren-Dearborn,51564,52264,53022,54114,55193,56229,57364,58583,60004,61276,62438,63583,64700,65540,66150,66550,67110,67824,68482,69052,69455,70053,70507,70821,71281,72048,73107,73651,73860,73800,73984,74355,74676,74944,75418,76165,76679,77188,77422,78438,79332,80408,81223,81805,82584,83419,84375,85198,85990,86698,87128,87515,88226,89379,90330,91453,92289,93153,93760,94396,95444,96627,98434,99854,101172,101864,102589,103207,104080,104977,105701,106401,106738,107182,107173,107527,108326,109482,110235,110532,110817,111102,111478,111584,112074,112553,113264,113989,114469,115033,116106,117724,119445,121332,123492,126109,57136.16667,68020.33333,73940.75,87019.66667,90026.41667,101695.8333,109348,117132.5
Tarrant County,TX,Dallas-Fort Worth-Arlington,132631,133198,134113,134957,135707,136343,137114,137962,139117,140203,141275,142165,142895,143579,144213,144865,145602,146338,147033,147757,148206,149015,150004,151245,152480,153666,154910,155967,157026,158299,159579,160951,162132,163313,164463,165686,167105,168450,169962,171603,173378,174760,176179,177598,179378,180793,182172,183830,185472,187321,188536,190005,191390,193096,194785,196575,198330,200358,202136,203372,204453,205714,207465,209068,210361,211831,213103,213561,213905,214192,215349,216711,218189,219057,219616,220161,221310,221847,222394,222819,223730,224476,225015,225463,225899,226832,227855,228959,229830,231095,232526,234527,236306,238311,240229,242371,137065.4167,146729.3333,159039.3333,189241.1667,194281.3333,211309.4167,222006.4167,232895
Santa Clara County,CA,San Jose-Sunnyvale-Santa Clara,692366,701573,711438,720689,735292,748736,757837,763187,766864,774340,774835,782830,791425,806291,810264,811190,810036,812499,821527,829769,841843,848402,860210,864333,866697,867681,877941,884660,891228,888972,889754,893628,900559,906293,910260,914819,920848,923174,925076,931978,933426,939189,937367,942630,940672,944876,947533,954083,959234,967052,970609,975967,982316,993381,1005324,1022281,1045762,1070058,1093762,1117296,1141552,1165880,1188532,1204459,1226096,1243576,1261743,1255524,1241932,1224744,1212685,1195773,1172702,1151145,1133690,1130164,1127134,1122086,1112001,1103868,1105950,1107201,1113339,1120773,1135255,1148355,1161387,1167745,1172345,1180357,1193271,1215664,1233470,1254712,1271406,1290977,744165.5833,825649.0833,891041,1012972.583,1016920.167,1213541.333,1125004.417,1202078.667
Broward County,FL,Miami-Fort Lauderdale-West Palm Beach,161074,163493,165613,168088,170759,173388,175962,178767,181513,183909,186753,189364,192021,193739,196068,197200,198835,199431,201174,201836,203122,203781,204146,204606,205567,207715,208670,209921,210111,211614,212263,213546,214404,215921,217383,218652,219637,220495,221754,222849,224952,226896,228785,230185,231545,233197,235189,236962,238467,239408,240264,242297,243450,244664,245718,247495,249324,250920,252131,253536,254387,255893,258201,259568,261506,262734,265137,266753,267678,267872,268781,270104,271490,272006,272265,272286,272162,272831,274019,274929,275892,276577,277062,277069,277714,279040,280189,281858,283653,285358,286276,287859,289936,292873,295927,299361,174890.25,199663.25,212147.25,245924.8333,245639.5,263217.8333,274049,286670.3333
Bexar County,TX,San Antonio-New Braunfels,131498,131988,132227,132323,132496,133118,133930,135096,136281,137291,137827,138242,138746,139493,140214,140902,141871,142586,143259,143375,143800,144371,145432,146403,147016,147941,148751,149701,150083,150870,151921,153408,154481,155503,156013,156807,157568,157942,158578,159645,161169,162206,162614,162846,163366,163813,164749,165881,167718,169434,170465,170776,170925,171475,172390,173451,174533,175640,176673,176979,176815,176711,177671,178913,180259,181257,182199,183017,183224,183674,183903,185237,186240,187684,188126,189084,189828,190836,191476,191999,192675,192999,193537,193563,194082,194106,194729,195037,195581,196145,197076,198248,199712,201456,203286,205275,134359.75,142537.6667,151874.5833,174765.3333,172538.25,181073.3333,190670.5833,197894.4167
New York County,NY,New York-Newark-Jersey City,758797,765880,772474,777542,782144,786433,793461,801650,809337,813627,821220,829707,840072,848616,859891,869905,881644,892285,900920,908344,915227,923750,929543,934813,940658,949208,954772,960156,962116,966820,970516,976145,981042,985718,992807,996798,997569,995506,996526,1000316,1002660,1002222,1000572,1000305,1000151,999109,996866,998640,1001571,1000435,995841,991330,994289,999437,1007549,1007842,1008275,1010347,1012946,1014226,1012146,1020353,1028320,1036768,1037541,1037419,1037002,1041180,1047072,1048870,1049653,1044661,1042907,1034983,1033507,1025179,1022277,1016421,1015525,1007816,998280,987010,983640,984702,987032,985903,980700,979850,976832,975545,969977,968330,966856,967719,962791,956787,792689.3333,892084.1667,969729.6667,1082270,1003674,1036748.75,1012687.25,973193.5
Philadelphia County,PA,Philadelphia-Camden-Wilmington,130461,130253,130059,130246,131085,132135,132798,133105,133045,133198,133445,133878,133945,134193,134137,133524,132904,132478,132762,132682,132670,132679,132922,133520,134241,134863,135857,137017,137751,137839,137737,138289,139138,139544,139672,138790,138843,139091,139329,139371,139543,140741,141576,142400,142912,143797,144862,146619,147163,147353,147421,148612,150072,151125,152062,152912,153971,155519,156862,158235,159610,161667,164072,165848,167231,168168,169466,170578,171858,172732,174064,175390,177244,178510,179219,179612,180755,182087,183054,183342,183875,184415,185079,185764,186712,187847,189017,190614,191836,193277,194925,197336,199536,201955,204216,206585,131975.6667,133201.3333,137561.5,153156.1667,151775.5833,168390.3333,181913,195321.3333
Alameda County,CA,San Francisco-Oakland-Hayward,465161,474766,487395,500424,516563,530844,542767,550395,556693,563845,573546,584209,592059,599918,602798,604571,602173,600452,602319,607806,613995,619271,624011,627912,631568,635523,643650,652262,659849,666692,673644,682563,694028,701776,705749,710019,718079,728106,731028,734562,738649,743688,745690,746482,744291,748035,752034,756582,758091,760366,767562,771193,774436,779705,787690,794247,803593,811197,822071,834245,846711,855277,861117,871262,884482,893580,898752,901253,901329,899363,895853,887494,877894,873013,870447,871891,874699,879122,879566,875263,871441,868460,865708,870224,878851,886415,890500,890994,889752,889393,894019,904483,915902,928463,941457,951381,528884,608107.0833,671443.5833,799770.4167,788699.6667,883039.4167,873144,905134.1667
Middlesex County,MA,Boston-Cambridge-Newton,399538,403793,408325,410865,412000,412642,414975,418088,423781,428417,431887,433198,432905,431332,430790,434894,440551,445464,447286,447731,447852,447630,449163,452298,457751,463630,468255,468391,466132,464693,466599,470159,471563,473893,474859,476217,477842,480075,481299,482581,485270,489694,491961,493907,496369,498668,501631,503750,505526,504804,506738,510382,516044,518503,521538,523453,527317,530876,534752,537816,540165,544517,548100,550879,552489,554498,556940,557799,557331,556842,556677,557865,558550,558946,557495,557536,558656,561576,562550,561822,561884,561305,561618,561540,563619,565590,568491,570626,572418,573672,576581,582260,588029,594927,601444,608380,416459.0833,442324.6667,468511.8333,529938.6667,519812.4167,552841.8333,560289.8333,580503.0833
Suffolk County,NY,New York-Newark-Jersey City,437737,439608,441554,442517,442497,442997,445159,447007,448679,450477,453368,456500,458265,457834,458225,459761,462655,464472,463957,462826,462474,463238,462963,463457,464285,466895,467732,467647,466225,465727,466968,468512,469820,470220,470920,470152,469390,469100,471377,473476,475153,474964,474619,475306,475852,476996,478375,481808,485496,487856,488190,489100,491858,496299,500557,503325,506058,508822,511703,513474,514429,515773,517071,518617,520620,523158,525975,528715,531240,533160,534367,534609,535038,534809,536629,539059,541357,542786,543868,544748,544772,543629,542164,542405,543716,546786,548780,550639,552688,555632,559571,564841,571786,580874,591612,602770,445675,461677.25,467925.25,513880.6667,498561.5,524811.1667,540938.6667,564141.25
Sacramento County,CA,Sacramento--Roseville--Arden-Arcade,206225,211283,216885,223172,230909,238988,247630,253218,258204,261465,266297,271259,274102,275852,276128,276276,275355,275191,273075,273534,273631,275905,276997,276343,277599,279556,282707,285212,286902,288200,289782,290992,292747,294885,297113,301205,303929,305551,306663,308917,312266,314303,316488,319313,322566,325060,327642,328750,331038,333928,337676,340021,341820,345179,348510,350849,352527,354795,357011,359873,362516,365689,367296,368393,370251,372696,375385,376878,376709,375893,375170,375654,375779,375409,375012,376783,379910,383371,384790,385202,386097,387032,389568,391393,394594,397020,400419,402959,404461,405422,408209,412921,418569,424791,430026,435527,240461.25,275199.0833,288908.3333,341054.4167,346102.25,371877.5,382528.8333,411243.1667
Bronx County,NY,New York-Newark-Jersey City,195952,194704,193499,193230,195089,197721,198763,200244,201395,204449,205329,204297,203042,203989,205993,205776,204758,202855,202547,203001,203339,203840,203576,204749,206595,208174,208560,209946,211940,214946,217571,218361,218960,218101,219189,220513,220806,220931,221240,222467,223315,224281,224782,225687,226552,228849,230834,232547,233877,235901,236625,236357,236233,236775,239111,241408,245046,247067,248413,248615,248783,248271,249986,252711,256255,258278,259262,260818,261430,263136,264925,266984,269617,273335,278349,281779,283717,284445,286085,288226,290379,292145,293116,295059,296747,297676,296441,296049,296315,298145,299285,299560,299833,299961,300683,300647,198722.6667,203955.4167,214404.6667,243567,240452.3333,257569.9167,284687.6667,298445.1667
Nassau County,NY,New York-Newark-Jersey City,428314,429141,430010,432740,435705,437601,438596,439268,441302,443456,445488,446883,449847,452388,454248,454249,454979,456825,458876,460454,461602,462960,464129,465479,465654,466214,466986,468441,469088,469874,470966,472344,473554,474898,476740,478668,480285,481864,483919,486768,488916,489656,490045,491201,493626,495497,498159,500379,503988,506666,508957,510104,513077,517610,522760,526639,528752,530783,532265,534385,536575,539364,542926,546870,550467,553467,555268,557501,559898,563320,565293,567158,568011,569628,571000,572428,572506,572822,572276,573154,571629,569865,568771,569389,570943,571520,572030,572830,574763,576854,580404,583293,588664,594225,600553,606075,437375.3333,458003,471118.9167,529915.25,519665.5,553175.5833,570956.5833,582679.5
Palm Beach County,FL,Miami-Fort Lauderdale-West Palm Beach,171231,173296,175571,178190,180989,183648,185936,188498,191719,195178,198554,201265,203728,206261,208494,209940,211482,213465,215642,217576,218134,219091,220102,222030,223659,224921,226712,228640,230470,231484,232749,234207,236818,238750,240595,241763,243375,245007,246292,248010,249366,251290,252944,254323,254957,255737,256953,258819,260005,261593,262799,263942,264994,266127,267298,268824,270864,272755,273854,274285,275191,276632,277947,279104,280459,281919,283046,283773,284265,285061,285929,287188,287825,287258,287434,288179,289831,290953,291718,291916,291309,291365,292168,293038,294019,295392,296701,297792,298258,299202,300753,303061,306233,308960,311423,313980,185339.5833,213828.75,232564,271569.6667,267278.3333,281709.5,290249.5,302147.8333
Cuyahoga County,OH,Cleveland-Elyria,102102,103341,104037,104624,104526,104835,105049,105378,105522,105719,105557,105218,104537,103135,102582,102115,102594,102774,103039,103066,103026,103257,103643,104245,105004,106321,107102,107714,107897,108337,108621,108757,108793,108754,109041,109467,109842,109872,109949,110112,110470,110906,111650,112616,113490,114183,114854,115530,116143,116294,116908,117990,119418,120250,120567,121005,121811,122948,123651,124118,124637,126586,128110,129363,129170,129518,129854,130075,130480,130896,132020,132920,133765,133795,134113,134015,135124,135845,137037,137484,137492,137377,137256,138069,139174,140340,141112,142345,143364,144622,145703,147503,149589,151824,153926,155573,104659,103167.75,107984,121078.4167,120091.9167,129469.0833,135947.6667,146256.25
Hillsborough County,FL,Tampa-St. Petersburg-Clearwater,141561,143659,145307,146483,148540,150926,153335,155598,157774,159916,161678,162448,162745,163420,164920,166557,167675,168065,168361,168381,168731,169515,170725,172128,173521,174546,174864,175376,175888,177222,178003,179172,180368,182054,183398,184850,185878,187355,188812,190016,191499,192663,194876,196746,198633,199447,200673,202076,203932,205139,206259,208159,210111,212102,213171,214221,214992,216000,217395,218653,219960,221783,224182,225773,226444,227055,228016,229310,230915,232482,233620,234558,235431,235918,236110,236335,237355,237997,238954,239227,239613,240156,241079,241878,242643,243583,244753,246250,247704,249634,251471,253868,256269,258750,261279,264290,152268.75,167601.9167,178271.8333,209460.3333,211677.8333,227841.5,238337.75,251707.8333
Allegheny County,PA,Pittsburgh,127481,127932,127997,128236,128235,128515,128992,129481,129830,130043,130447,130625,131017,131443,132166,132540,132566,132556,132798,133156,133633,133991,134414,134936,135137,135156,135151,135654,136718,137589,138188,138474,138936,139488,139978,140246,141285,142458,143314,143327,143087,143381,143696,144302,144513,144957,145344,146226,146161,146384,146428,147479,148268,148998,149714,150472,151437,152078,152749,153219,154057,154367,155839,157140,158677,159101,159529,159919,160435,160923,161335,161690,162422,163497,163845,163898,165016,166673,167765,167619,167146,167161,167827,168989,169968,170688,171554,172717,173147,173881,175216,177704,180543,183276,185717,188047,128984.5,132934.6667,137559.5833,155511.3333,149448.9167,158584.3333,165988.1667,176871.5
Oakland County,MI,Detroit-Warren-Dearborn,159680,161558,164357,166989,169717,172330,174825,177369,180287,182563,184571,186604,188847,191107,192235,193415,193835,195119,196395,197462,197651,197559,198324,199868,201018,201674,202242,202952,203626,203939,204117,204583,205160,206275,207143,208006,209023,210268,211187,211940,212899,214052,215436,216885,218378,219845,220769,221359,221947,222513,224804,227046,229368,230405,230940,231557,232876,234357,236015,237650,239463,240901,240842,241440,243120,246162,248866,250293,251024,250776,251802,252946,254472,255340,254959,254565,254524,256625,258732,259983,259570,259731,259789,260106,260049,260437,262528,264479,265784,265245,265187,266646,269852,273345,276535,279752,173404.1667,195151.4167,204227.9167,232503.9167,229956.5,246469.5833,257366.3333,267486.5833
Franklin County,OH,Columbus,120969,121086,121848,122871,124085,125510,126816,128132,128999,129858,130766,131576,132220,132417,132427,132465,132854,133125,133361,133230,133326,133438,134060,135044,136356,137825,139059,139856,140510,141101,141989,142714,143634,144433,145121,145771,146378,146835,147603,148784,149791,150660,151381,152716,153872,154832,155560,156384,158138,160606,162483,163494,163968,164954,165937,167046,168323,169893,171728,173485,173698,172850,172814,174243,176752,178711,180719,182091,182999,184052,184865,185481,186201,187580,189189,190365,191642,192840,193715,194253,195174,196225,197107,198250,199843,201770,203165,204439,205307,206575,208236,210621,213072,215433,218163,220967,126043,133163.9167,141530.75,163380.5833,165837.9167,179106.25,192711.75,208965.9167
Hennepin County,MN,Minneapolis-St. Paul-Bloomington,209673,210783,211752,212787,214898,216378,218601,220741,223819,226165,227622,228544,229962,231222,233207,235127,237429,238821,239092,238672,237629,236668,236411,237467,238254,240523,241785,243860,244514,245101,245993,246925,248337,249763,251316,252414,254071,255312,256598,256840,256740,257629,258631,260512,262035,263989,265416,266557,266878,267043,268257,270334,273248,275089,277157,278331,279430,279822,281255,283170,286282,289090,291217,292234,293190,294590,295849,297283,298314,299325,299556,300029,300867,302179,303344,304448,304951,305359,305741,305990,306872,307454,309204,310990,312590,313682,314769,316378,318342,320382,322469,324752,326784,329244,331011,332592,218480.25,235975.5833,245732.0833,280562,275001.1667,294746.5833,305616.5833,321916.25
Orange County,FL,Orlando-Kissimmee-Sanford,150051,152306,154973,157748,160838,163475,166140,168849,172391,175358,177429,178729,180240,182024,183757,185488,186519,187138,187465,187510,187022,187116,188418,189709,190528,191155,191827,192858,193631,194715,195922,197706,199680,201398,202460,204468,206549,208465,209710,210309,211834,213306,214902,216285,217342,218768,219880,220681,222605,224662,226823,228648,229928,231938,233531,235222,237057,238506,240358,241948,242224,243227,244800,247942,250551,252348,254134,255370,256797,258288,259967,261603,263419,264226,264817,264262,264379,264657,265468,266332,267341,267889,268528,269136,270494,272354,273809,275465,276998,278675,280057,281701,283155,285058,286748,288595,164857.25,186033.8333,196362.3333,231041.5833,232602.1667,252270.9167,265871.1667,279425.75
Fairfax County,VA,Washington-Arlington-Alexandria,490077,492174,494670,495071,498375,501086,504105,507784,512159,514996,517333,517908,519100,520407,522162,523033,522005,520700,521109,519943,519535,518537,519023,519472,518273,519422,519246,520205,519791,520975,521015,522715,523340,524072,522974,522084,523198,520744,521191,520786,524588,525098,525988,525203,525253,526249,528730,532939,534077,537241,535732,537659,535917,537472,538213,540544,542093,543093,543578,542341,544240,545066,549377,549396,551643,552743,554331,554642,555199,555350,555375,555897,557248,559991,562688,565020,567377,567965,568937,569426,571347,573966,577562,581236,583754,585347,586336,589349,592133,596536,600777,605973,610263,614546,618477,622765,503811.5,520418.8333,521176,568504.25,538996.6667,551938.25,568563.5833,600521.3333
Contra Costa County,CA,San Francisco-Oakland-Hayward,389265,393678,400297,411447,423733,436977,445905,456971,465564,475019,483690,491246,504885,517106,526009,528623,529334,533485,540839,545351,551314,555486,561293,568778,573234,578273,583221,589395,594792,597389,598729,602488,607460,613918,618871,621458,622894,620499,620009,621660,624891,629199,631120,634575,635570,638740,640855,643703,645630,651258,656100,661813,665465,667096,670033,673734,679264,681948,685667,689992,697854,705375,710924,712124,716096,721940,725875,723675,722778,723468,723247,720895,720766,719386,717947,716599,719851,722025,721319,717226,711347,709879,711338,715804,715865,715989,717779,721953,722304,723426,727875,738197,749694,758296,765653,772413,439482.6667,538541.9167,598269,682097.75,669000,717020.9167,716957.25,735787
