RegionName,StateName,Metro,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,2013,2014,2015,2016,2017,2018,2019,2020
Lawrence County,IL,,36250,35762,34969,34249,34205,34409,34875,34896,35149,35623,35868,36053,35986,36515,37029,37612,37960,38201,38266,38441,38811,39088,39477,39796,40405,40708,41092,41307,41322,41461,41493,41596,41495,41446,41343,41285,41642,42288,42855,43114,43457,43616,43835,43989,44333,44670,45057,45402,45093,44762,44420,44599,44864,45309,45576,45804,45718,45961,46065,46341,46509,46363,46309,46248,46417,46538,46831,47226,47624,47633,47721,47704,48431,48855,49103,48753,48604,48623,48798,48956,49271,49464,49542,49630,49472,49749,50095,50838,51331,51726,51985,52259,52519,53070,53763,54524,35192.33333,38098.5,41246.08333,47128.58333,45376,46926.91667,49002.5,51777.58333
Polk County,TN,Cleveland,90492,90282,90301,90602,90706,90947,91140,91631,92029,92484,92829,92933,93118,93419,94142,94656,95487,96088,96905,97309,97361,97371,97506,98285,99103,99879,100217,100624,100761,100727,100768,101024,101721,102299,102656,103095,103627,104381,105088,105755,106670,107553,108101,108310,108584,108837,109508,109871,110394,110508,110568,110709,110875,111545,112301,113416,114259,115373,116200,117026,117398,118089,118630,119290,119721,120239,120737,121156,121442,121937,122437,122883,123295,123833,124089,124115,124239,124912,125633,126315,126936,127663,128560,129520,130476,131017,132140,133355,134573,135185,135751,136320,137070,137565,137960,138318,91364.66667,95970.58333,101072.8333,115781.6667,112764.5,120329.9167,125759.1667,134977.5
Leon County,TX,,112036,112918,113851,114494,114827,115269,115670,116279,116644,117263,118042,119245,120550,121596,122910,123977,125151,125985,126883,127740,128482,129311,130298,131253,130370,129340,128170,128646,129087,129931,130564,131261,131816,132318,132005,131557,132677,134539,136393,136857,137448,137962,138804,139557,140547,141435,142688,143941,144711,145198,145701,146661,147401,147943,148170,148518,149339,150207,151331,152191,153229,154062,154666,155315,155879,156652,157284,158047,157938,157804,157299,157653,157923,158827,159615,160481,161241,161942,162824,163601,164830,166608,167626,168001,167833,167931,168382,168748,169369,170080,170869,171736,172662,173259,174671,176339,115544.8333,126178,130422.0833,149533.75,148114.25,156319,162793.25,170989.9167
Dallas County,MO,Springfield,93542,93478,93393,93298,93201,93126,93013,92983,92952,93057,93218,93432,93447,93516,93622,93977,94257,94585,95062,95442,95839,96076,96325,96601,96980,97415,97784,97993,98281,98638,98972,99446,99865,100269,100566,100815,101104,101350,101670,102034,102495,102920,103177,103357,103499,104208,104903,105732,106295,106958,107706,108326,108831,109194,109825,110507,111378,111781,112339,112827,113564,114260,114755,115424,116158,117034,117835,118485,118997,119426,119926,120406,120966,121506,122117,122687,123245,123947,124558,125320,126115,127091,127463,127728,127774,128136,128558,128969,129418,129767,130219,130665,131157,131683,132655,133786,93224.41667,94895.75,98918.66667,111438.6667,109663.9167,117189.1667,124395.25,130232.25
Wayne County,IL,,52101,52175,52271,52284,52195,52168,51941,51694,51685,51697,52215,52523,52954,53410,53795,54030,54262,54655,55091,55416,55720,56083,56190,56463,56647,57079,57418,58128,58844,59367,59737,60402,60898,61743,61917,62244,62192,62492,62927,63322,63752,63895,64405,64757,65577,65761,66248,66429,67072,67411,67829,68011,68058,68632,69048,69755,69898,70372,71101,71928,72105,71771,71531,71678,71944,72044,72241,72050,71841,71652,71859,72137,73061,74361,75180,75771,76468,77723,78703,79597,80315,80419,79917,79628,79471,79356,79320,79378,79370,78952,78758,78811,79144,79914,80921,81769,52079.08333,54839.08333,59535.33333,69500.08333,69092.91667,71904.41667,77595.25,79597
Seward County,NE,Lincoln,134865,135358,135741,136175,136247,136300,136304,136627,137028,137449,138037,138503,138983,139308,139701,140149,140707,141341,142023,142610,143214,143773,144308,144839,145517,146320,147142,147747,148406,148974,149542,150004,150437,150877,151357,151911,152397,152834,153279,153843,154374,154975,155654,156442,157211,158037,158857,159673,160559,161432,162346,163200,164103,164956,165735,166460,167217,167964,168779,169680,170505,171317,171945,172731,173551,174532,175368,176216,176982,177735,178572,179423,180115,180601,181179,182011,182989,183807,184736,185876,187121,188273,188110,187888,187723,188438,188999,189303,189516,189851,190254,190562,190887,191357,192839,194410,136552.8333,141746.3333,149019.5,168290.5833,165202.5833,174906.4167,184392.1667,190344.9167
Piatt County,IL,Champaign-Urbana,116805,116954,117164,117308,117886,118505,119067,119310,119388,119657,119911,120323,120668,121069,121300,121548,121691,122013,122277,122607,122978,123187,123376,123384,123535,123749,124188,124501,124669,124557,124752,125070,125705,126256,126779,127276,127644,128062,128308,128816,129277,129943,130341,130719,130787,130892,131063,131330,131707,132070,132496,132682,132902,133189,133503,133810,134088,134456,134844,135199,135495,135647,135789,136008,136374,136738,137089,137403,137730,137994,138170,138393,138593,138882,139161,139541,140142,140541,140963,141261,141741,142180,142050,141927,141858,142179,142371,142512,142447,142566,142722,143036,143265,143578,144404,145253,118523.1667,122174.8333,125086.4167,140371.5,133412.1667,136902.5,140581.8333,143015.9167
Gem County,ID,Boise City,,,,,,,,,,,,,,,,,,,,,,,,,154175,154505,154895,155636,156500,157437,158652,159881,161054,162205,163389,164453,165302,166256,167352,168577,169576,170515,171015,171813,172707,173776,174579,175683,177211,178794,180294,181763,183427,185073,186920,188167,189622,190933,193083,195218,197355,199395,201408,203603,205774,208138,210366,212948,215356,218068,220074,221892,223492,225225,227057,228780,230558,232327,234208,236198,238234,240109,241568,243072,244592,246712,248715,250804,252944,255134,257399,259620,261999,264536,267755,271181,0,0,158565.1667,184300.3333,185875.4167,209531.4167,233402.3333,256782.5833
Dickinson County,IA,Spirit Lake,186771,187508,187822,187934,188080,188153,188294,188611,189164,189825,190404,190061,189617,189327,190034,190809,191575,192057,192633,192935,193376,193788,194378,195207,196044,196772,197117,197553,198105,198860,199612,200357,201044,201698,202421,203109,203906,204694,205497,206120,206711,207311,207902,208641,209236,209861,210252,210941,211536,212294,212949,213837,214601,215368,216093,216648,217175,217660,218484,219320,220154,220867,221676,222471,223305,224038,224603,225333,226087,226883,227418,227781,228262,228984,229707,230550,231339,232180,232963,233936,235020,235917,236131,236366,236670,237097,237426,237633,237922,238265,238780,239127,239408,239841,240885,242017,188552.25,192144.6667,199391,224515.0833,215497.0833,224218,232612.9167,238755.9167
Clay County,IA,Spencer,109163,108984,109076,109205,109374,109546,109665,109661,109560,109451,109582,109767,110082,110365,110718,111026,111376,111593,111899,112093,112421,112623,112862,113362,114052,114739,115064,115321,115620,115811,115829,115814,116035,116432,116826,116583,116311,116103,116402,116711,116910,117267,117547,117960,118064,118232,118431,118971,119455,119978,120415,120927,121385,121793,122306,122654,123149,123533,123885,124238,124655,125055,125366,125568,125957,126263,126546,126897,127031,127122,127114,127348,127613,127978,128331,128819,129256,129709,130127,130798,131562,132306,132584,132798,133043,133420,133738,133997,134233,134525,134848,134977,135124,135335,135962,136512,109419.5,111701.6667,115677.1667,127124.3333,121976.5,126243.5,130156.75,134642.8333
